web-scraper-order,web-scraper-start-url,name,descpription,image-src
"1647243317-301","https://www.arbolesibericos.es/genres","Quercus rubra L.","Roble americano,  Haritz amerikarra (eusk.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_r9m0jg628u?alt=media&token=eb4d44b1-0fcb-45b4-adfe-f9a66b1cfdf3"
"1647243317-278","https://www.arbolesibericos.es/genres","Platycladus orientalis (L.) Franco","Biota,  Árbol de la vida oriental,  Tuya,  Tuya de China,  Tuya de Oriente,  Ekialdeko tuia (eusk.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_kj38o8hsi8.jpg?alt=media&token=993f0437-b656-4599-881f-a67452906188"
"1647243317-281","https://www.arbolesibericos.es/genres","Populus tremula L.","Temblón,  Chopo temblón,  Tiemblo,  Trèmol (cat.),  Alba borda (cat.),  Lertxuna (eusk.),  Faia preta (port.),  Choupo tremedor (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_rp0qmcihrv.jpg?alt=media&token=c7c95da4-76c2-4e4d-8cd6-d273335f398d"
"1647243317-275","https://www.arbolesibericos.es/genres","Pistacia lentiscus L.","Lentisco,  Lentisca,  Alentisco,  Lantisco","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_lyskjbymp6.jpg?alt=media&token=810bbe04-d46c-4b85-bc43-e1458871e4da"
"1647243317-208","https://www.arbolesibericos.es/genres","Acer opalus Mill.","Acirón,  Ácer,  Orón (cat.),  Oró (cat.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_atw8ix0iw0l.jpg?alt=media&token=8ac06cbf-634b-40ad-8bcb-03c71bf8516a"
"1647243317-204","https://www.arbolesibericos.es/genres","Acer campestre L.","Arce,  Moscón,  Auró blanc (cat.),  Oró (cat.),  Astigar arrunta (eusk.),  Bôrdo comum (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_espmoq7bky.jpg?alt=media&token=5cd76351-6de8-448f-a907-470356564300"
"1647243317-213","https://www.arbolesibericos.es/genres","Alnus cordata (Liosel.) Duby","Aliso italiano","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_h79humaqi7b.jpg?alt=media&token=7f3cb9fb-d96c-4fda-a01d-7e397f40f440"
"1647243317-258","https://www.arbolesibericos.es/genres","Melia azedarach L.","Agriaz,  Melia,  Mélia,  Amargoseira (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_jk6d1rldy9i.jpg?alt=media&token=0a0893a2-e764-4083-8007-18aa00e83328"
"1647243317-283","https://www.arbolesibericos.es/genres","Prunus avium (L.) L.","Cerezo silvestre,  Cirerer (cat.),  Gereziondoa (eusk.),  Cereixeira (gall.),  Cerejeira brava (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_fe2dq2w2yyc.jpg?alt=media&token=12478579-5ee4-4465-8906-eda45df092c8"
"1647243317-302","https://www.arbolesibericos.es/genres","Quercus suber L.","Alcornoque,  Surera (cat.),  Artelatza (eusk.),  Sobreira (gall.),  Corticeira (gall.),  Sobreiro (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_rx2hv772vqe.jpg?alt=media&token=e6f18f7e-b5cd-4165-88f7-ca4199db1c4e"
"1647243317-267","https://www.arbolesibericos.es/genres","Pinus canariensis Sweet","Pino canario","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_irsbf6ik75b.jpg?alt=media&token=5f8164f3-4352-4583-907d-d77df6e26333"
"1647243317-244","https://www.arbolesibericos.es/genres","Fraxinus angustifolia Vahl","Fresno,  Freixe de fulla petita (cat.),  Lizar hostotxikia (eusk.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_vbj9o2oj5dq.jpg?alt=media&token=6c12bb0b-21aa-4698-b256-85d8d91b9fb2"
"1647243317-229","https://www.arbolesibericos.es/genres","Crataegus azarolus L.","Acerolo,  Azarollo,  Atzeroler (cat.),  Azaroleira (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_ckuke3ck7c5.jpg?alt=media&token=7e3965e9-58e4-4d48-b6ca-145247985ad0"
"1647243317-263","https://www.arbolesibericos.es/genres","Phillyrea latifolia L.","Labiérnago,  Agracejo,  Aladern (cat.),  Aderno (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_2ds02kd5fa.jpg?alt=media&token=7ce4615c-d68d-4789-8052-69e348122b3e"
